POISSON BOLTZMANN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EPB,ENPOLAR,EDISPER,GGAS,GSOLV,TOTAL
41,914.89,2287.99,2724.76,261.48,146.23,-13.61,-2021.15,-4840.14,1022.25,14990.59,0.0,2287.77,-1282.49,15473.28,1005.28,16478.56
42,960.25,2385.37,2732.56,266.78,154.2,13.01,-2004.17,-4848.85,1024.79,15018.87,0.0,2294.92,-1292.6,15702.82,1002.31,16705.13
43,955.4,2294.04,2734.44,266.74,132.34,-1.94,-2026.85,-4843.16,1006.44,15014.08,0.0,2288.73,-1289.41,15531.53,999.32,16530.84
44,972.41,2305.5,2721.44,258.03,131.25,-4.23,-1994.14,-4841.27,1003.78,14989.16,0.0,2294.99,-1286.46,15541.93,1008.52,16550.45
45,996.12,2453.76,2728.09,287.84,145.43,-6.57,-2003.73,-4856.71,1025.44,15048.65,0.0,2296.58,-1288.43,15818.32,1008.15,16826.46
46,980.22,2373.0,2747.52,270.12,149.24,4.43,-2003.09,-4844.22,994.03,14963.52,0.0,2296.16,-1302.0,15634.76,994.16,16628.92
47,938.9,2241.2,2713.94,251.42,132.56,-13.36,-2012.67,-4866.99,994.21,15067.86,0.0,2272.3,-1274.29,15447.08,998.01,16445.09
48,942.73,2284.14,2711.77,269.62,137.74,-13.03,-1955.41,-4853.75,1004.16,15031.84,0.0,2299.29,-1298.08,15559.83,1001.21,16561.03
49,941.74,2281.63,2711.95,259.06,149.11,5.02,-1979.62,-4845.82,1020.71,14988.91,0.0,2298.14,-1298.59,15532.71,999.55,16532.25
50,978.33,2376.48,2734.99,276.9,128.66,1.11,-1986.33,-4849.51,972.65,15034.79,0.0,2294.88,-1284.8,15668.07,1010.09,16678.16
51,953.04,2306.76,2746.44,259.32,130.15,-3.26,-2026.72,-4837.57,1015.49,14950.4,0.0,2283.19,-1275.14,15494.06,1008.04,16502.11
52,967.15,2276.88,2735.01,251.19,135.6,-5.9,-2042.98,-4842.64,1006.42,15012.48,0.0,2276.65,-1271.13,15493.2,1005.52,16498.72
53,944.3,2337.71,2730.04,257.75,136.89,-11.47,-2033.56,-4857.06,998.27,15017.79,0.0,2277.68,-1278.69,15520.66,998.98,16519.65
54,985.56,2361.45,2716.98,268.42,129.44,-14.23,-2038.08,-4847.84,1002.77,15016.1,0.0,2272.38,-1268.82,15580.58,1003.55,16584.14
55,920.66,2307.47,2739.31,259.52,134.06,-28.6,-2031.35,-4842.76,1001.25,15014.35,0.0,2281.2,-1279.02,15473.9,1002.18,16476.08
56,943.23,2312.12,2734.14,262.77,142.75,-18.0,-2003.52,-4848.44,1016.96,15018.02,0.0,2279.9,-1280.96,15560.03,998.94,16558.97
57,959.8,2349.9,2723.4,262.2,144.46,-26.85,-2063.13,-4831.07,994.86,15007.8,0.0,2269.78,-1260.73,15521.36,1009.05,16530.41
58,945.8,2339.66,2745.81,265.93,157.89,-28.72,-2036.58,-4852.28,1023.4,15081.18,0.0,2274.38,-1261.38,15642.08,1013.0,16655.09
59,979.93,2290.35,2736.14,262.13,149.79,-36.44,-2019.3,-4851.16,986.74,15087.66,0.0,2276.7,-1265.91,15585.82,1010.79,16596.62
60,936.68,2338.59,2751.62,260.37,141.27,-22.72,-2024.96,-4819.25,999.49,14919.92,0.0,2258.17,-1246.78,15481.01,1011.38,16492.39
61,972.84,2305.84,2728.27,262.44,142.62,-2.61,-2024.22,-4842.21,984.82,14982.27,0.0,2272.67,-1259.8,15510.08,1012.87,16522.96
62,952.97,2369.56,2716.94,270.0,134.08,-6.41,-2033.17,-4830.47,1013.29,14944.35,0.0,2268.26,-1260.27,15531.15,1008.0,16539.15
63,959.42,2315.45,2757.09,266.89,134.02,-13.09,-2023.31,-4845.63,1019.26,15042.31,0.0,2268.8,-1251.78,15612.42,1017.02,16629.43
64,941.52,2294.32,2718.7,254.81,140.83,-2.06,-2028.69,-4833.08,1004.33,15001.72,0.0,2257.39,-1251.36,15492.4,1006.02,16498.42
65,916.01,2296.23,2706.82,254.57,150.42,-19.24,-1978.3,-4849.1,1007.4,14997.55,0.0,2280.93,-1277.83,15482.34,1003.1,16485.44
66,872.43,2280.14,2749.08,260.05,148.57,-29.25,-2020.31,-4852.42,1045.59,15073.09,0.0,2274.83,-1266.9,15526.97,1007.94,16534.91
67,933.35,2293.13,2743.04,266.65,143.52,-4.36,-1994.76,-4839.87,1015.84,14991.36,0.0,2275.27,-1264.17,15547.91,1011.1,16559.01
68,930.21,2365.67,2705.87,262.49,130.7,-13.74,-2031.08,-4830.47,1020.63,14977.46,0.0,2286.17,-1272.24,15517.75,1013.94,16531.69
69,944.8,2263.61,2723.84,258.34,139.71,-25.78,-2002.35,-4850.19,993.23,15036.92,0.0,2278.61,-1276.83,15482.13,1001.78,16483.91
