POISSON BOLTZMANN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EPB,ENPOLAR,EDISPER,GGAS,GSOLV,TOTAL
5,1.9,9.45,6.77,2.84,0.05,0.0,-0.87,-24.09,1.04,-0.83,0.0,21.51,-19.14,-3.75,2.37,-1.38
6,1.38,8.34,6.45,2.95,1.25,0.0,-1.66,-22.15,1.28,-8.0,0.0,21.59,-19.19,-10.16,2.4,-7.76
7,1.4,6.5,5.64,2.34,0.16,0.0,0.28,-24.2,0.73,0.43,0.0,21.5,-19.12,-6.73,2.38,-4.35
8,1.39,11.42,5.65,4.12,0.05,0.0,-1.14,-23.34,1.49,-3.93,0.0,21.61,-19.25,-4.3,2.36,-1.95
9,1.34,11.68,4.73,4.17,0.14,0.0,-0.53,-23.63,2.22,-3.9,0.0,21.45,-18.89,-3.79,2.56,-1.23
10,1.92,8.87,4.34,3.04,0.37,0.0,-1.12,-24.19,0.79,0.52,0.0,21.32,-19.24,-5.45,2.08,-3.37
11,1.33,7.11,6.11,2.68,0.41,0.0,-0.94,-22.5,2.15,-5.5,0.0,21.34,-19.15,-9.15,2.19,-6.96
12,0.68,6.25,4.73,2.77,0.11,0.0,-0.63,-22.27,0.96,-6.8,0.0,21.64,-19.36,-14.2,2.28,-11.92
13,1.93,11.39,5.94,4.2,0.22,0.0,-0.51,-21.92,0.57,-5.33,0.0,21.46,-19.1,-3.52,2.35,-1.17
14,3.86,8.3,5.87,3.84,0.0,0.0,0.0,-22.61,0.56,-4.03,0.0,21.49,-19.3,-4.2,2.19,-2.02
15,1.62,11.2,5.52,3.48,0.57,0.0,-0.61,-21.84,0.72,-5.78,0.0,21.29,-18.92,-5.1,2.37,-2.73
16,4.13,11.05,4.35,2.76,0.33,0.0,-1.16,-23.16,0.53,-2.45,0.0,21.42,-18.64,-3.63,2.78,-0.85
17,4.96,10.46,6.6,3.53,0.27,0.0,-1.17,-21.09,1.05,-9.12,0.0,21.82,-19.49,-4.51,2.33,-2.18
18,3.43,9.53,4.49,3.34,0.07,0.0,0.25,-22.09,-0.11,-6.7,0.0,21.79,-19.14,-7.8,2.65,-5.15
19,3.93,11.04,8.75,3.67,0.42,0.0,-1.87,-22.7,0.67,-3.96,0.0,21.66,-18.66,-0.05,3.0,2.95
20,1.49,9.64,6.21,2.69,0.81,0.0,-1.62,-22.52,0.88,-4.97,0.0,21.14,-18.62,-7.38,2.52,-4.86
21,3.85,11.52,3.54,3.51,0.49,0.0,1.46,-22.28,0.66,-7.59,0.0,21.5,-19.18,-4.84,2.32,-2.52
22,2.7,10.22,5.23,3.63,0.21,0.0,-0.3,-22.57,1.4,-6.47,0.0,21.3,-19.17,-5.94,2.13,-3.81
23,2.04,6.73,4.49,2.67,0.05,0.0,-1.23,-22.98,0.31,-0.92,0.0,21.65,-19.11,-8.82,2.54,-6.28
24,0.98,9.88,7.34,2.22,0.74,0.0,-0.53,-22.4,0.94,-4.55,0.0,20.73,-18.29,-5.39,2.44,-2.95
25,2.27,10.05,5.92,3.87,0.0,0.0,-0.64,-22.51,1.04,-4.96,0.0,21.18,-18.9,-4.94,2.28,-2.67
26,1.79,9.72,5.93,3.47,0.3,0.0,-0.68,-21.04,1.2,-8.03,0.0,21.58,-19.19,-7.36,2.39,-4.97
27,3.09,8.97,4.94,3.4,1.17,0.0,-1.47,-24.07,0.49,0.82,0.0,21.69,-19.19,-2.65,2.5,-0.16
28,4.03,11.21,4.17,4.83,0.98,0.0,-0.87,-22.82,0.02,-5.38,0.0,21.69,-19.21,-3.83,2.48,-1.36
29,2.15,10.22,4.55,2.31,0.11,0.0,-1.74,-22.38,0.24,-6.4,0.0,21.9,-18.98,-10.94,2.92,-8.03
30,3.1,12.59,7.02,3.14,0.86,0.0,-1.31,-22.72,0.99,-6.06,0.0,21.76,-19.18,-2.39,2.57,0.19
31,3.32,9.63,6.97,3.24,0.0,0.0,-0.43,-23.88,1.06,-0.6,0.0,21.56,-19.18,-0.68,2.38,1.69
32,1.52,15.51,4.85,3.7,0.16,0.0,-0.56,-23.81,-0.0,-0.95,0.0,21.02,-18.69,0.42,2.33,2.75
33,1.98,8.67,6.24,2.27,0.0,0.0,-0.67,-22.96,1.26,-1.53,0.0,21.27,-18.58,-4.74,2.68,-2.06
34,2.84,7.41,5.53,2.99,0.01,0.0,-1.07,-22.64,1.38,-6.27,0.0,21.52,-19.01,-9.81,2.5,-7.31
35,1.37,9.22,4.21,3.05,2.04,0.0,-0.92,-22.5,1.02,-7.12,0.0,21.31,-19.18,-9.62,2.14,-7.48
36,2.48,11.94,4.37,4.51,0.28,0.0,-1.22,-21.23,1.71,-8.34,0.0,21.58,-19.05,-5.5,2.53,-2.96
37,3.36,7.93,3.93,2.25,0.06,0.0,-1.14,-21.11,1.02,-8.19,0.0,21.65,-19.03,-11.9,2.62,-9.28
38,1.83,9.54,5.06,3.96,0.09,0.0,-0.25,-21.12,0.68,-6.67,0.0,21.56,-19.12,-6.86,2.44,-4.42
39,2.01,5.03,4.74,2.69,0.13,0.0,-0.7,-21.46,1.27,-6.92,0.0,21.36,-19.3,-13.21,2.07,-11.14
40,2.16,8.24,5.51,3.0,0.0,0.0,2.23,-21.72,1.31,-7.82,0.0,21.38,-19.06,-7.09,2.32,-4.77
41,1.26,14.65,4.73,4.02,0.43,0.0,-1.45,-21.97,1.06,-9.73,0.0,21.66,-18.97,-7.0,2.69,-4.31
42,1.38,7.12,5.29,2.21,0.64,0.0,0.3,-21.91,0.84,-8.26,0.0,21.37,-19.24,-12.39,2.14,-10.26
43,4.81,13.4,5.88,4.23,0.32,0.0,-1.34,-21.79,0.78,-5.85,0.0,21.71,-19.01,0.44,2.7,3.14
